Edge1,Edge2
Building_230,Building_138
TaskBuilding_37,Building_230
Building_230,TaskBuilding_37
Building_137,Building_230
Building_124,Building_137
Building_130,Building_124
Building_123,Building_130
Building_122,Building_123
TaskBuilding_25,Building_122
TaskBuilding_4,TaskBuilding_25
Building_122,TaskBuilding_4
Building_123,Building_122
Building_119,Building_123
Building_121,Building_119
Building_119,Building_121
TaskBuilding_12,Building_119
Church-TaskBuilding_16,TaskBuilding_12
Building_111,Church-TaskBuilding_16
TaskBuilding_28,Building_111
Building_98,TaskBuilding_28
Building_123,Building_98
TaskBuilding_21,Building_123
Building_128,TaskBuilding_21
Building_122,Building_128
Building_118,Building_122
Church-TaskBuilding_16,Building_118
Building_125,Church-TaskBuilding_16
Building_136,Building_125
TaskBuilding_1,Building_136
Building_121,TaskBuilding_1
TaskBuilding_1,Building_121
Building_119,TaskBuilding_1
TaskBuilding_20,Building_119
Building_121,TaskBuilding_20
Building_119,Building_121
TaskBuilding_22,Building_119
TaskBuilding_1,TaskBuilding_22
Building_121,TaskBuilding_1
TaskBuilding_20,Building_121
TaskBuilding_1,TaskBuilding_20
TaskBuilding_20,TaskBuilding_1
TaskBuilding_1,TaskBuilding_20
TaskBuilding_20,TaskBuilding_1
TaskBuilding_1,TaskBuilding_20
TaskBuilding_22,TaskBuilding_1
Building_122,TaskBuilding_22
Building_109,Building_122
TaskBuilding_22,Building_109
Building_109,TaskBuilding_22
TaskBuilding_22,Building_109
TaskBuilding_28,TaskBuilding_22
Building_113,TaskBuilding_28
Building_88,Building_113
Building_113,Building_88
NoHit,Building_113
Building_113,NoHit
Building_110,Building_113
Building_108,Building_110
Building_122,Building_108
Building_88,Building_122
Building_108,Building_88
TaskBuilding_22,Building_108
Building_108,TaskBuilding_22
TaskBuilding_26,Building_108
Building_110,TaskBuilding_26
Building_86,Building_110
Building_87,Building_86
TaskBuilding_26,Building_87
Building_108,TaskBuilding_26
TaskBuilding_17,Building_108
Building_87,TaskBuilding_17
Building_86,Building_87
Building_104,Building_86
TaskBuilding_3,Building_104
Building_104,TaskBuilding_3
Building_87,Building_104
Building_88,Building_87
Building_87,Building_88
Building_88,Building_87
Building_84,Building_88
Building_87,Building_84
Building_88,Building_87
TaskBuilding_1,Building_88
Building_97,TaskBuilding_1
TaskBuilding_3,Building_97
Building_108,TaskBuilding_3
Building_88,Building_108
Building_87,Building_88
Building_86,Building_87
NoHit,Building_86
Building_110,NoHit
Building_combined_115_116,Building_110
TaskBuilding_17,Building_combined_115_116
Building_104,TaskBuilding_17
TaskBuilding_23,Building_104
Building_97,TaskBuilding_23
Building_109,Building_97
Building_108,Building_109
Building_104,Building_108
TaskBuilding_3,Building_104
TaskBuilding_24,TaskBuilding_3
Building_108,TaskBuilding_24
TaskBuilding_26,Building_108
Building_152,TaskBuilding_26
Building_147,Building_152
TaskBuilding_39,Building_147
Building_152,TaskBuilding_39
TaskBuilding_44,Building_152
Building_153,TaskBuilding_44
TaskBuilding_44,Building_153
Building_152,TaskBuilding_44
Building_154,Building_152
Building_153,Building_154
HighSilo-TaskBuilding_49,Building_153
Building_147,HighSilo-TaskBuilding_49
Building_150,Building_147
Building_147,Building_150
Building_150,Building_147
Building_147,Building_150
Building_150,Building_147
Building_151,Building_150
Building_161,Building_151
TaskBuilding_35,Building_161
Building_155,TaskBuilding_35
Building_166,Building_155
Building_163,Building_166
TaskBuilding_42,Building_163
TaskBuilding_35,TaskBuilding_42
Building_166,TaskBuilding_35
TaskBuilding_35,Building_166
Building_157,TaskBuilding_35
TaskBuilding_40,Building_157
Building_162,TaskBuilding_40
Building_163,Building_162
